#{"t_start": 1703086369.7527943, "env_id": "CartPole-v1"}
r,l,t
1000.0,1000,119.753907
1000.0,1000,122.020106
1000.0,1000,126.299232
1000.0,1000,128.329583
1000.0,1000,132.086037
1000.0,1000,134.115873
1000.0,1000,136.402832
1000.0,1000,140.573532
1000.0,1000,143.050072
1000.0,1000,147.394912
1000.0,1000,149.452881
1000.0,1000,153.633012
1000.0,1000,155.95689
1000.0,1000,160.242326
1000.0,1000,162.27906
1000.0,1000,166.639142
1000.0,1000,169.085615
1000.0,1000,173.408235
1000.0,1000,175.566607
1000.0,1000,179.86328
1000.0,1000,181.991007
1000.0,1000,186.489837
1000.0,1000,188.950289
1000.0,1000,193.546595
1000.0,1000,195.866001
1000.0,1000,200.35709
1000.0,1000,202.70636
1000.0,1000,207.129699
1000.0,1000,209.324712
1000.0,1000,213.47657
1000.0,1000,215.605973
1000.0,1000,220.095644
1000.0,1000,222.506898
1000.0,1000,227.063429
1000.0,1000,229.324153
1000.0,1000,233.948862
1000.0,1000,236.297315
1000.0,1000,240.716481
1000.0,1000,242.486846
1000.0,1000,246.841773
1000.0,1000,249.162233
1000.0,1000,254.18895
1000.0,1000,256.423079
1000.0,1000,261.258982
1000.0,1000,263.425736
1000.0,1000,267.795618
1000.0,1000,269.922216
1000.0,1000,274.220961
1000.0,1000,276.38487
1000.0,1000,278.694859
1000.0,1000,283.070731
1000.0,1000,285.284122
1000.0,1000,289.455618
1000.0,1000,291.652527
1000.0,1000,295.835979
1000.0,1000,297.599044
1000.0,1000,301.377007
1000.0,1000,303.384638
1000.0,1000,307.424141
1000.0,1000,309.496672
1000.0,1000,313.706729
1000.0,1000,315.515932
1000.0,1000,320.131344
1000.0,1000,322.33268
1000.0,1000,326.488734
1000.0,1000,328.625139
1000.0,1000,333.176708
1000.0,1000,335.283264
1000.0,1000,339.696627
1000.0,1000,341.447805
1000.0,1000,345.284891
1000.0,1000,347.371939
1000.0,1000,351.634084
1000.0,1000,353.66001
1000.0,1000,357.802223
1000.0,1000,359.699604
1000.0,1000,363.908675
1000.0,1000,366.148773
1000.0,1000,370.703175
1000.0,1000,373.018627
1000.0,1000,377.376395
1000.0,1000,379.775362
1000.0,1000,384.253011
1000.0,1000,386.525728
1000.0,1000,390.8523
1000.0,1000,392.912713
1000.0,1000,396.924109
1000.0,1000,399.083448
1000.0,1000,403.162216
1000.0,1000,405.236457
1000.0,1000,409.285573
1000.0,1000,411.397778
1000.0,1000,413.552076
1000.0,1000,417.617245
1000.0,1000,419.692232
